Governorate,Cases,Deaths,Recoveries,Active Cases,Date,Today's Cases,Vaccine Ratio,The Proportion Of Fully Vaccinated
#adm1+name,#affected+infected+confirmed,#affected+infected+dead,#affected+infected+recovered,#affected+infected+active,#date,#affected+infected+today,,
,Number Of Cases,Death Cases,Recovery Cases,Active Cases,,Today's Cases,Vaccinated Rate,The Proportion Of Fully Vaccinated
Bethlehem Governorate,"17,732",234,"17,498",0,2021-06-30,,,
Tulkarm Governorate,"15,237",234,"14,991",12,2021-06-30,,,
Jerusalem Governorate,"10,761",91,"10,664",6,2021-06-30,,,
Qalqilya Governorate,"8,174",147,"8,023",4,2021-06-30,,,
Salfit Governorate,"7,224",88,"7,134",2,2021-06-30,,,
Tubas Governorate,"4,966",61,"4,904",1,2021-06-30,,,
Jericho Governorate,"4,384",45,"4,337",2,2021-06-30,,,
Gaza strip,"113,942","1,060","110,489","2,393",2021-06-27,,,
Hebron Governorate,"45,149",584,"44,547",18,2021-06-27,,,
Nablus Governorate,"34,162",439,"33,646",77,2021-06-27,,,
Ramallah and al-Bireh Governorate,"32,214",317,"31,888",9,2021-06-27,,,
East Jerusalem,"28,841",268,"28,573",0,2021-06-27,,,
Jenin Governorate,"19,787",260,"19,499",28,2021-06-27,,,
Bethlehem Governorate,"17,732",233,"17,499",0,2021-06-27,,,
Tulkarm Governorate,"15,230",234,"14,990",6,2021-06-27,,,
Jerusalem Governorate,"10,759",91,"10,663",5,2021-06-27,,,
Qalqilya Governorate,"8,172",147,"8,023",2,2021-06-27,,,
Salfit Governorate,"7,224",88,"7,134",2,2021-06-27,,,
Tubas Governorate,"4,966",61,"4,904",1,2021-06-27,,,
Jericho Governorate,"4,384",45,"4,336",3,2021-06-27,,,
Gaza strip,"113,296","1,056","109,479","2,761",2021-06-23,,,
Hebron Governorate,"45,138",584,"44,538",16,2021-06-23,,,
Nablus Governorate,"34,144",439,"33,627",78,2021-06-23,,,
Ramallah and al-Bireh Governorate,"32,210",317,"31,879",14,2021-06-23,,,
East Jerusalem,"28,841",268,"28,573",0,2021-06-23,,,
Jenin Governorate,"19,772",260,"19,473",39,2021-06-23,,,
Bethlehem Governorate,"17,732",233,"17,496",3,2021-06-23,,,
Tulkarm Governorate,"15,226",234,"14,984",8,2021-06-23,,,
Jerusalem Governorate,"10,757",91,"10,662",4,2021-06-23,,,
Qalqilya Governorate,"8,170",147,"8,023",0,2021-06-23,,,
Salfit Governorate,"7,223",88,"7,134",1,2021-06-23,,,
Tubas Governorate,"4,965",61,"4,902",2,2021-06-23,,,
Jericho Governorate,"4,382",45,"4,335",2,2021-06-23,,,
Gaza strip ,"113,296","1,056","109,479","2,761",2021-06-22,,,
Nablus Governorate,"34,144",439,"33,627",78,2021-06-22,,,
Embryo ,"19,772",260,"19,473",39,2021-06-22,,,
Hebron Governorate,"45,138",584,"44,538",16,2021-06-22,,,
Ramallah and Al-Bireh Governorate,"32,210",317,"31,879",14,2021-06-22,,,
Tulkarm Governorate,"15,226",234,"14,984",8,2021-06-22,,,
Jerusalem suburbs ,"10,757",91,"10,662",4,2021-06-22,,,
Bethlehem Governorate,"17,732",233,"17,496",3,2021-06-22,,,
Tubas ,"4,965",61,"4,902",2,2021-06-22,,,
Jericho Governorate,"4,382",45,"4,335",2,2021-06-22,,,
sulfites ,"7,223",88,"7,134",1,2021-06-22,,,
City of Jerusalem,"28,841",268,"28,573",0,2021-06-22,,,
Qalqilya ,"8,170",147,"8,023",0,2021-06-22,,,
Gaza strip,"112,984","1,053","109,155","2,776",2021-06-20,,,
Hebron Governorate,"45,132",584,"44,538",10,2021-06-20,,,
Nablus Governorate,"34,130",438,"33,611",81,2021-06-20,,,
Ramallah and al-Bireh Governorate,"32,208",317,"31,869",22,2021-06-20,,,
East Jerusalem,"28,841",268,"28,573",0,2021-06-20,,,
Jenin Governorate,"19,768",260,"19,467",41,2021-06-20,,,
Bethlehem Governorate,"17,732",233,"17,493",6,2021-06-20,,,
Tulkarm Governorate,"15,224",234,"14,980",10,2021-06-20,,,
Jerusalem Governorate,"10,755",91,"10,662",2,2021-06-20,,,
Qalqilya Governorate,"8,170",147,"8,020",3,2021-06-20,,,
Salfit Governorate,"7,223",88,"7,134",1,2021-06-20,,,
Tubas Governorate,"4,965",61,"4,902",2,2021-06-20,,,
Jericho Governorate,"4,382",45,"4,335",2,2021-06-20,,,
Gaza strip,"112,516","1,049","107,903","3,564",2021-06-16,,,
Hebron Governorate,"45,127",584,"44,532",11,2021-06-16,,,
Nablus Governorate,"34,111",436,"33,550",125,2021-06-16,,,
Ramallah and al-Bireh Governorate,"32,206",317,"31,853",36,2021-06-16,,,
East Jerusalem,"28,841",268,"28,573",0,2021-06-16,,,
Jenin Governorate,"19,759",260,"19,446",53,2021-06-16,,,
Bethlehem Governorate,"17,731",233,"17,491",7,2021-06-16,,,
Tulkarm Governorate,"15,223",234,"14,975",14,2021-06-16,,,
Jerusalem Governorate,"10,753",91,"10,662",0,2021-06-16,,,
Qalqilya Governorate,"8,170",147,"8,011",12,2021-06-16,,,
Salfit Governorate,"7,223",87,"7,133",3,2021-06-16,,,
Tubas Governorate,"4,964",61,"4,888",15th,2021-06-16,,,
Jericho Governorate,"4,381",45,"4,333",3,2021-06-16,,,
Gaza strip,"112,317","1,047","107,549","3,721",2021-06-15,,,
Hebron Governorate,"45,126",584,"44,530",12,2021-06-15,,,
Nablus Governorate,"34,102",436,"33,542",124,2021-06-15,,,
Ramallah and al-Bireh Governorate,"32,205",317,"31,845",43,2021-06-15,,,
East Jerusalem,"28,841",268,"28,573",0,2021-06-15,,,
Jenin Governorate,"19,756",260,"19,443",53,2021-06-15,,,
Bethlehem Governorate,"17,731",233,"17,491",7,2021-06-15,,,
Tulkarm Governorate,"15,220",234,"14,970",16,2021-06-15,,,
Jerusalem Governorate,"10,753",91,"10,662",0,2021-06-15,,,
Qalqilya Governorate,"8,170",147,"8,011",12,2021-06-15,,,
Salfit Governorate,"7,223",87,"7,133",3,2021-06-15,,,
Tubas Governorate,"4,964",61,"4,881",22,2021-06-15,,,
Jericho Governorate,"4,381",45,"4,333",3,2021-06-15,,,
Gaza strip,"112,077","1,045","107,344","3,688",2021-06-14,,,
Hebron Governorate,"45,125",584,"44,527",14,2021-06-14,,,
Nablus Governorate,"34,095",435,"33,540",120,2021-06-14,,,
Ramallah and al-Bireh Governorate,"32,204",317,"31,828",59,2021-06-14,,,
East Jerusalem,"28,841",268,"28,573",0,2021-06-14,,,
Jenin Governorate,"19,750",260,"19,435",55,2021-06-14,,,
Bethlehem Governorate,"17,729",233,"17,487",9,2021-06-14,,,
Tulkarm Governorate,"15,220",234,"14,969",17,2021-06-14,,,
Jerusalem Governorate,"10,753",91,"10,661",1,2021-06-14,,,
Qalqilya Governorate,"8,170",147,"8,005",18,2021-06-14,,,
Salfit Governorate,"7,223",87,"7,133",3,2021-06-14,,,
Tubas Governorate,"4,964",61,"4,878",25,2021-06-14,,,
Jericho Governorate,"4,380",45,"4,331",4,2021-06-14,,,
Gaza strip,"111,072","1,030","105,826","4,216",2021-06-09,,,
Hebron Governorate,"45,118",584,"44,501",33,2021-06-09,,,
Nablus Governorate,"34,041",431,"33,469",141,2021-06-09,,,
Ramallah and al-Bireh Governorate,"32,182",317,"31,808",57,2021-06-09,,,
East Jerusalem,"28,841",268,"28,573",0,2021-06-09,,,
Jenin Governorate,"19,722",260,"19,364",98,2021-06-09,,,
Bethlehem Governorate,"17,725",233,"17,473",19,2021-06-09,,,
Tulkarm Governorate,"15,212",234,"14,931",47,2021-06-09,,,
Jerusalem Governorate,"10,753",91,"10,658",4,2021-06-09,,,
Qalqilya Governorate,"8,170",147,"8,003",20,2021-06-09,,,
Salfit Governorate,"7,221",87,"7,127",7,2021-06-09,,,
Tubas Governorate,"4,948",61,"4,871",16,2021-06-09,,,
Jericho Governorate,"4,380",45,"4,326",9,2021-06-09,,,
Gaza strip,"110,799","1,028","105,676","4,095",2021-06-07,,,
Hebron Governorate,"45,116",583,"44,482",51,2021-06-07,,,
Nablus Governorate,"34,019",431,"33,463",125,2021-06-07,,,
Ramallah and al-Bireh Governorate,"32,180",317,"31,803",60,2021-06-07,,,
East Jerusalem,"28,841",268,"28,573",0,2021-06-07,,,
Jenin Governorate,"19,716",260,"19,348",108,2021-06-07,,,
Bethlehem Governorate,"17,725",233,"17,473",19,2021-06-07,,,
Tulkarm Governorate,"15,208",234,"14,922",52,2021-06-07,,,
Jerusalem Governorate,"10,753",91,"10,657",5,2021-06-07,,,
Qalqilya Governorate,"8,170",147,"8,001",22,2021-06-07,,,
Salfit Governorate,"7,221",87,"7,127",7,2021-06-07,,,
Tubas Governorate,"4,946",61,"4,871",14,2021-06-07,,,
Jericho Governorate,"4,380",45,"4,324",11,2021-06-07,,,
Gaza strip,"110,618","1,028","105,466","4,124",2021-06-06,,,
Hebron Governorate,"45,114",583,"44,482",49,2021-06-06,,,
Nablus Governorate,"34,007",431,"33,439",137,2021-06-06,,,
Ramallah and al-Bireh Governorate,"32,179",317,"31,794",68,2021-06-06,,,
East Jerusalem,"28,841",268,"28,573",0,2021-06-06,,,
Jenin Governorate,"19,714",260,"19,340",114,2021-06-06,,,
Bethlehem Governorate,"17,725",233,"17,470",22,2021-06-06,,,
Tulkarm Governorate,"15,203",234,"14,916",53,2021-06-06,,,
Jerusalem Governorate,"10,753",91,"10,657",5,2021-06-06,,,
Qalqilya Governorate,"8,170",147,"7,996",27,2021-06-06,,,
Salfit Governorate,"7,221",87,"7,127",7,2021-06-06,,,
Tubas Governorate,"4,943",61,"4,871",11,2021-06-06,,,
Jericho Governorate,"4,379",45,"4,323",11,2021-06-06,,,
Gaza strip,"110,296","1,024","105,312","3,960",2021-06-04,,,
Hebron Governorate,"45,111",583,"44,464",64,2021-06-04,,,
Nablus Governorate,"33,992",431,"33,376",185,2021-06-04,,,
Ramallah and al-Bireh Governorate,"32,170",317,"31,767",86,2021-06-04,,,
East Jerusalem,"28,841",268,"28,573",0,2021-06-04,,,
Jenin Governorate,"19,697",259,"19,298",140,2021-06-04,,,
Bethlehem Governorate,"17,720",232,"17,464",24,2021-06-04,,,
Tulkarm Governorate,"15,199",234,"14,904",61,2021-06-04,,,
Jerusalem Governorate,"10,753",91,"10,656",6,2021-06-04,,,
Qalqilya Governorate,"8,168",147,"7,990",31,2021-06-04,,,
Salfit Governorate,"7,220",87,"7,125",8,2021-06-04,,,
Tubas Governorate,"4,939",61,"4,869",9,2021-06-04,,,
Jericho Governorate,"4,379",45,"4,319",15th,2021-06-04,,,
Gaza strip,"110,023","1,023","105,300","3,700",2021-06-03,,,
Hebron Governorate,"45,108",582,"44,457",69,2021-06-03,,,
Nablus Governorate,"33,980",431,"33,332",217,2021-06-03,,,
Ramallah and al-Bireh Governorate,"32,166",317,"31,761",88,2021-06-03,,,
East Jerusalem,"28,841",268,"28,573",0,2021-06-03,,,
Jenin Governorate,"19,686",259,"19,287",140,2021-06-03,,,
Bethlehem Governorate,"17,718",232,"17,447",39,2021-06-03,,,
Tulkarm Governorate,"15,195",234,"14,904",57,2021-06-03,,,
Jerusalem Governorate,"10,752",91,"10,655",6,2021-06-03,,,
Qalqilya Governorate,"8,168",147,"7,990",31,2021-06-03,,,
Salfit Governorate,"7,220",87,"7,123",10,2021-06-03,,,
Tubas Governorate,"4,939",61,"4,869",9,2021-06-03,,,
Jericho Governorate,"4,378",45,"4,318",15th,2021-06-03,,,
Gaza strip,"109,506","1,021","104,942","3,543",2021-06-01,,,
Hebron Governorate,"45,098",581,"44,432",85,2021-06-01,,,
Nablus Governorate,"33,957",429,"33,290",238,2021-06-01,,,
Ramallah and al-Bireh Governorate,"32,162",317,"31,741",104,2021-06-01,,,
East Jerusalem,"28,841",268,"28,573",0,2021-06-01,,,
Jenin Governorate,"19,658",258,"19,257",143,2021-06-01,,,
Bethlehem Governorate,"17,714",232,"17,444",38,2021-06-01,,,
Tulkarm Governorate,"15,187",234,"14,875",78,2021-06-01,,,
Jerusalem Governorate,"10,751",91,"10,653",7,2021-06-01,,,
Qalqilya Governorate,"8,167",147,"7,981",39,2021-06-01,,,
Salfit Governorate,"7,220",87,"7,120",13,2021-06-01,,,
Tubas Governorate,"4,937",61,"4,868",8,2021-06-01,,,
Jericho Governorate,"4,375",45,"4,316",14,2021-06-01,,,
Gaza strip,"108,909","1,018","104,913","2,978",2021-05-31,,,
Hebron Governorate,"45,085",581,"44,410",94,2021-05-31,,,
Nablus Governorate,"33,945",426,"33,219",300,2021-05-31,,,
Ramallah and al-Bireh Governorate,"32,160",317,"31,714",129,2021-05-31,,,
East Jerusalem,"28,841",268,"28,573",0,2021-05-31,,,
Jenin Governorate,"19,629",258,"19,221",150,2021-05-31,,,
Bethlehem Governorate,"17,708",232,"17,436",40,2021-05-31,,,
Tulkarm Governorate,"15,174",233,"14,829",112,2021-05-31,,,
Jerusalem Governorate,"10,751",91,"10,651",9,2021-05-31,,,
Qalqilya Governorate,"8,165",146,"7,975",44,2021-05-31,,,
Salfit Governorate,"7,216",87,"7,115",14,2021-05-31,,,
Tubas Governorate,"4,932",61,"4,865",6,2021-05-31,,,
Jericho Governorate,"4,374",45,"4,313",16,2021-05-31,,,
Gaza strip,"108,500","1,014","104,678","2,808",2021-05-28,,,
Hebron,"45,084",581,"44,376",127,2021-05-28,,,
Nablus,"33,923",425,"33,188",310,2021-05-28,,,
Ramallah and Al-Bireh,"32,149",316,"31,585",248,2021-05-28,,,
City of Jerusalem,"28,841",268,"28,573",0,2021-05-28,,,
Embryo,"19,611",258,"19,178",175,2021-05-28,,,
Tulkarm,"15,158",233,"14,794",131,2021-05-28,,,
Bethlehem,"17,707",232,"17,433",42,2021-05-28,,,
Qalqilya,"8,164",146,"7,966",52,2021-05-28,,,
Suburbs of Jerusalem,"10,751",91,"10,648",12,2021-05-28,,,
Salfit,"7,216",87,"7,105",24,2021-05-28,,,
Tubas,"4,932",61,"4,863",8,2021-05-28,,,
Jericho,"4,374",45,"4,311",18,2021-05-28,,,
Gaza strip,"107,845","1,010","104,477","2,358",2021-05-27,,,
Hebron Governorate,"45,066",580,"44,356",130,2021-05-27,,,
Nablus Governorate,"33,898",425,"33,109",364,2021-05-27,,,
Ramallah and al-Bireh Governorate,"32,141",316,"31,435",390,2021-05-27,,,
East Jerusalem,"28,841",268,"28,573",0,2021-05-27,,,
Jenin Governorate,"19,584",258,"19,145",181,2021-05-27,,,
Bethlehem Governorate,"17,699",231,"17,417",51,2021-05-27,,,
Tulkarm Governorate,"15,140",233,"14,739",168,2021-05-27,,,
Jerusalem Governorate,"10,746",91,"10,644",11,2021-05-27,,,
Qalqilya Governorate,"8,161",146,"7,966",49,2021-05-27,,,
Salfit Governorate,"7,213",87,"7,103",23,2021-05-27,,,
Tubas Governorate,"4,928",61,"4,860",7,2021-05-27,,,
Jericho Governorate,"4,374",45,"4,308",21,2021-05-27,,,
Gaza strip,"107,442","1,009","104,077","2,356",2021-05-26,,,
Hebron Governorate,"45,059",580,"44,338",141,2021-05-26,,,
Nablus Governorate,"33,877",425,"33,075",377,2021-05-26,,,
Ramallah and al-Bireh Governorate,"32,133",316,"31,427",390,2021-05-26,,,
East Jerusalem,"28,841",268,"28,573",0,2021-05-26,,,
Jenin Governorate,"19,573",258,"19,105",210,2021-05-26,,,
Bethlehem Governorate,"17,697",230,"17,413",54,2021-05-26,,,
Tulkarm Governorate,"15,133",232,"14,718",183,2021-05-26,,,
Jerusalem Governorate,"10,746",91,"10,643",12,2021-05-26,,,
Qalqilya Governorate,"8,161",146,"7,961",54,2021-05-26,,,
Salfit Governorate,"7,213",87,"7,103",23,2021-05-26,,,
Tubas Governorate,"4,927",61,"4,857",9,2021-05-26,,,
Jericho Governorate,"4,373",45,"4,307",21,2021-05-26,,,
Gaza strip,"106,206",993,"101,791","3,422",2021-05-19,,,
Hebron Governorate,"44,986",574,"44,218",194,2021-05-19,,,
Nablus Governorate,"33,708",424,"32,602",682,2021-05-19,,,
Ramallah and al-Bireh Governorate,"32,061",316,"31,295",450,2021-05-19,,,
East Jerusalem,"28,841",268,"28,573",0,2021-05-19,,,
Jenin Governorate,"19,463",256,"19,020",187,2021-05-19,,,
Bethlehem Governorate,"17,679",229,"17,391",59,2021-05-19,,,
Tulkarm Governorate,"15,052",229,"14,553",270,2021-05-19,,,
Jerusalem Governorate,"10,743",91,"10,631",21,2021-05-19,,,
Qalqilya Governorate,"8,142",145,"7,905",92,2021-05-19,,,
Salfit Governorate,"7,202",86,"7,090",26,2021-05-19,,,
Tubas Governorate,"4,921",60,"4,845",16,2021-05-19,,,
Jericho Governorate,"4,369",45,"4,302",22,2021-05-19,,,
Gaza strip,"105,974",986,"100,765","4,223",2021-05-17,,,
Hebron Governorate,"44,965",572,"44,084",309,2021-05-17,,,
Nablus Governorate,"33,632",424,"32,292",916,2021-05-17,,,
Ramallah and al-Bireh Governorate,"32,043",316,"31,180",547,2021-05-17,,,
East Jerusalem,"28,841",268,"28,573",0,2021-05-17,,,
Jenin Governorate,"19,424",255,"18,971",198,2021-05-17,,,
Bethlehem Governorate,"17,675",229,"17,385",61,2021-05-17,,,
Tulkarm Governorate,"15,004",228,"14,443",333,2021-05-17,,,
Jerusalem Governorate,"10,741",91,"10,623",27,2021-05-17,,,
Qalqilya Governorate,"8,135",145,"7,860",130,2021-05-17,,,
Salfit Governorate,"7,199",86,"7,086",27,2021-05-17,,,
Tubas Governorate,"4,916",60,"4,823",33,2021-05-17,,,
Jericho Governorate,"4,366",45,"4,296",25,2021-05-17,,,
Gaza strip,"105,902",983,"100,055","4,864",2021-05-16,,,
Hebron Governorate,"44,947",570,"44,080",297,2021-05-16,,,
Nablus Governorate,"33,592",424,"31,950","1,218",2021-05-16,,,
Ramallah and al-Bireh Governorate,"32,021",315,"31,126",580,2021-05-16,,,
East Jerusalem,"28,841",268,"28,573",0,2021-05-16,,,
Jenin Governorate,"19,390",255,"18,933",202,2021-05-16,,,
Bethlehem Governorate,"17,663",227,"17,383",53,2021-05-16,,,
Tulkarm Governorate,"14,979",228,"14,382",369,2021-05-16,,,
Jerusalem Governorate,"10,739",91,"10,618",30,2021-05-16,,,
Qalqilya Governorate,"8,128",145,"7,821",162,2021-05-16,,,
Salfit Governorate,"7,192",86,"7,080",26,2021-05-16,,,
Tubas Governorate,"4,908",59,"4,802",47,2021-05-16,,,
Jericho Governorate,"4,366",45,"4,293",28,2021-05-16,,,
Gaza strip,"105,630",973,"97,604","7,053",2021-05-12,,,
Hebron Governorate,"44,931",566,"43,926",439,2021-05-12,,,
Nablus Governorate,"33,504",421,"31,520","1,563",2021-05-12,,,
Ramallah and al-Bireh Governorate,"31,984",313,"31,074",597,2021-05-12,,,
East Jerusalem,"28,841",268,"28,573",0,2021-05-12,,,
Jenin Governorate,"19,337",254,"18,809",274,2021-05-12,,,
Bethlehem Governorate,"17,653",227,"17,350",76,2021-05-12,,,
Tulkarm Governorate,"14,917",225,"14,178",514,2021-05-12,,,
Jerusalem Governorate,"10,736",91,"10,616",29,2021-05-12,,,
Qalqilya Governorate,"8,125",145,"7,766",214,2021-05-12,,,
Salfit Governorate,"7,186",84,"7,056",46,2021-05-12,,,
Tubas Governorate,"4,904",57,"4,782",65,2021-05-12,,,
Jericho Governorate,"4,363",45,"4,210",108,2021-05-12,,,
Gaza strip,"105,257",967,"96,984","7,306",2021-05-11,,,
Hebron Governorate,"44,919",566,"43,915",438,2021-05-11,,,
Nablus Governorate,"33,461",420,"31,427","1,614",2021-05-11,,,
Ramallah and al-Bireh Governorate,"31,972",313,"31,031",628,2021-05-11,,,
East Jerusalem,"28,841",268,"28,573",0,2021-05-11,,,
Jenin Governorate,"19,317",254,"18,773",290,2021-05-11,,,
Bethlehem Governorate,"17,644",227,"17,339",78,2021-05-11,,,
Tulkarm Governorate,"14,903",225,"14,061",617,2021-05-11,,,
Jerusalem Governorate,"10,736",91,"10,614",31,2021-05-11,,,
Qalqilya Governorate,"8,121",145,"7,751",225,2021-05-11,,,
Salfit Governorate,"7,185",83,"7,053",49,2021-05-11,,,
Tubas Governorate,"4,900",57,"4,777",66,2021-05-11,,,
Jericho Governorate,"4,362",45,"4,207",110,2021-05-11,,,
Gaza strip,"104,871",956,"96,634","7,281",2021-05-10,,,
Hebron Governorate,"44,905",566,"43,878",461,2021-05-10,,,
Nablus Governorate,"33,411",419,"31,351","1,641",2021-05-10,,,
Ramallah and al-Bireh Governorate,"31,948",311,"31,013",624,2021-05-10,,,
East Jerusalem,"28,841",268,"28,573",0,2021-05-10,,,
Jenin Governorate,"19,295",253,"18,734",308,2021-05-10,,,
Bethlehem Governorate,"17,639",227,"17,324",88,2021-05-10,,,
Tulkarm Governorate,"14,890",225,"13,900",765,2021-05-10,,,
Jerusalem Governorate,"10,735",91,"10,614",30,2021-05-10,,,
Qalqilya Governorate,"8,117",145,"7,746",226,2021-05-10,,,
Salfit Governorate,"7,181",83,"7,035",63,2021-05-10,,,
Tubas Governorate,"4,896",57,"4,772",67,2021-05-10,,,
Jericho Governorate,"4,361",45,"4,205",111,2021-05-10,,,
Gaza strip,"104,527",950,"96,232","7,345",2021-05-09,,,
Hebron Governorate,"44,889",563,"43,875",451,2021-05-09,,,
Nablus Governorate,"33,345",415,"31,230","1,700",2021-05-09,,,
Ramallah and al-Bireh Governorate,"31,935",311,"30,960",664,2021-05-09,,,
East Jerusalem,"28,841",268,"28,573",0,2021-05-09,,,
Jenin Governorate,"19,266",252,"18,718",296,2021-05-09,,,
Bethlehem Governorate,"17,634",227,"17,315",92,2021-05-09,,,
Tulkarm Governorate,"14,873",222,"13,701",950,2021-05-09,,,
Jerusalem Governorate,"10,734",91,"10,612",31,2021-05-09,,,
Qalqilya Governorate,"8,117",144,"7,736",237,2021-05-09,,,
Salfit Governorate,"7,178",81,"7,035",62,2021-05-09,,,
Tubas Governorate,"4,893",57,"4,768",68,2021-05-09,,,
Jericho Governorate,"4,360",45,"4,203",112,2021-05-09,,,
Gaza strip,"103,583",930,"92,976","9,677",2021-05-06,,,
Hebron Governorate,"44,851",559,"43,776",516,2021-05-06,,,
Nablus Governorate,"33,183",412,"30,658","2,113",2021-05-06,,,
Ramallah and al-Bireh Governorate,"31,877",311,"30,873",693,2021-05-06,,,
East Jerusalem,"28,841",268,"28,409",164,2021-05-06,,,
Jenin Governorate,"19,194",251,"18,368",575,2021-05-06,,,
Bethlehem Governorate,"17,625",226,"17,280",119,2021-05-06,,,
Tulkarm Governorate,"14,830",222,"13,433","1,175",2021-05-06,,,
Jerusalem Governorate,"10,732",90,"10,607",35,2021-05-06,,,
Qalqilya Governorate,"8,100",144,"7,691",265,2021-05-06,,,
Salfit Governorate,"7,173",80,"7,008",85,2021-05-06,,,
Tubas Governorate,"4,882",56,"4,719",107,2021-05-06,,,
Jericho Governorate,"4,357",45,"4,197",115,2021-05-06,,,
Gaza strip,"103,144",927,"91,520","10,697",2021-05-05,,,
Hebron Governorate,"44,807",558,"43,708",541,2021-05-05,,,
Nablus Governorate,"33,133",409,"30,479","2,245",2021-05-05,,,
Ramallah and al-Bireh Governorate,"31,845",310,"30,844",691,2021-05-05,,,
East Jerusalem,"28,841",268,"28,409",164,2021-05-05,,,
Jenin Governorate,"19,167",251,"18,299",617,2021-05-05,,,
Bethlehem Governorate,"17,609",226,"17,255",128,2021-05-05,,,
Tulkarm Governorate,"14,808",221,"13,377","1,210",2021-05-05,,,
Jerusalem Governorate,"10,730",90,"10,603",37,2021-05-05,,,
Qalqilya Governorate,"8,093",144,"7,666",283,2021-05-05,,,
Salfit Governorate,"7,171",80,"7,004",87,2021-05-05,,,
Tubas Governorate,"4,872",56,"4,703",113,2021-05-05,,,
Jericho Governorate,"4,357",45,"4,194",118,2021-05-05,,,
Gaza strip,"102,074",914,"89,196","11,964",2021-05-03,,,
Hebron Governorate,"44,722",555,"43,597",570,2021-05-03,,,
Nablus Governorate,"33,016",403,"29,921","2,692",2021-05-03,,,
Ramallah and al-Bireh Governorate,"31,759",309,"30,681",769,2021-05-03,,,
East Jerusalem,"28,841",268,"28,409",164,2021-05-03,,,
Jenin Governorate,"19,097",249,"18,133",715,2021-05-03,,,
Bethlehem Governorate,"17,594",224,"17,238",132,2021-05-03,,,
Tulkarm Governorate,"14,755",216,"13,338","1,201",2021-05-03,,,
Jerusalem Governorate,"10,724",89,"10,601",34,2021-05-03,,,
Qalqilya Governorate,"8,081",143,"7,637",301,2021-05-03,,,
Salfit Governorate,"7,159",80,"6,978",101,2021-05-03,,,
Tubas Governorate,"4,867",56,"4,676",135,2021-05-03,,,
Jericho Governorate,"4,355",45,"4,175",135,2021-05-03,,,
Gaza strip,"101,703",908,"88,738","12,057",2021-05-02,,,
Hebron Governorate,"44,713",555,"43,587",571,2021-05-02,,,
Nablus Governorate,"32,935",402,"29,719","2,814",2021-05-02,,,
Ramallah and al-Bireh Governorate,"31,740",308,"30,681",751,2021-05-02,,,
East Jerusalem,"28,841",268,"28,409",164,2021-05-02,,,
Jenin Governorate,"19,059",249,"18,110",700,2021-05-02,,,
Bethlehem Governorate,"17,591",223,"17,225",143,2021-05-02,,,
Tulkarm Governorate,"14,730",215,"13,315","1,200",2021-05-02,,,
Jerusalem Governorate,"10,722",89,"10,597",36,2021-05-02,,,
Qalqilya Governorate,"8,074",142,"7,611",321,2021-05-02,,,
Salfit Governorate,"7,156",80,"6,971",105,2021-05-02,,,
Tubas Governorate,"4,861",56,"4,666",139,2021-05-02,,,
Jericho Governorate,"4,354",45,"4,172",137,2021-05-02,,,
Gaza strip ,"100,405",884,"85,911","13,610",2021-04-29,,,
Nablus governorate,"32,684",396,"29,271","3,017",2021-04-29,,,
Tulkarm Governorate,"14,650",214,"13,259","1,177",2021-04-29,,,
Embryo ,"18,937",247,"17,882",808,2021-04-29,,,
Ramallah and Al-Bireh Governorate,"31,635",305,"30,532",798,2021-04-29,,,
Hebron Governorate,"44,643",552,"43,409",682,2021-04-29,,,
Qalqilya Governorate,"8,052",140,"7,555",357,2021-04-29,,,
Bethlehem Governorate,"17,571",223,"17,173",175,2021-04-29,,,
Tubas Governorate,"4,829",56,"4,607",166,2021-04-29,,,
Jericho Governorate,"4,350",45,"4,140",165,2021-04-29,,,
City of Jerusalem ,"28,841",268,"28,409",164,2021-04-29,,,
Salfit Governorate,"7,140",80,"6,916",144,2021-04-29,,,
Suburbs of Jerusalem ,"10,705",89,"10,578",38,2021-04-29,,,
Gaza strip,"98,887",869,"83,172","14,846",2021-04-27,,,
Hebron Governorate,"44,566",548,"43,261",757,2021-04-27,,,
Nablus Governorate,"32,514",393,"28,888","3,233",2021-04-27,,,
Ramallah and al-Bireh Governorate,"31,563",304,"30,389",870,2021-04-27,,,
East Jerusalem,"28,841",268,"28,409",164,2021-04-27,,,
Jenin Governorate,"18,830",247,"17,704",879,2021-04-27,,,
Bethlehem Governorate,"17,547",221,"17,144",182,2021-04-27,,,
Tulkarm Governorate,"14,568",211,"13,121","1,236",2021-04-27,,,
Jerusalem Governorate,"10,700",89,"10,571",40,2021-04-27,,,
Qalqilya Governorate,"8,025",140,"7,514",371,2021-04-27,,,
Salfit Governorate,"7,124",80,"6,890",154,2021-04-27,,,
Tubas Governorate,"4,797",54,"4,560",183,2021-04-27,,,
Jericho Governorate,"4,345",45,"4,132",168,2021-04-27,,,
Gaza strip,"97,849",857,"81,449","15,543",2021-04-26,,,
Hebron Governorate,"44,504",548,"43,216",740,2021-04-26,,,
Nablus Governorate,"32,408",390,"28,448","3,570",2021-04-26,,,
Ramallah and al-Bireh Governorate,"31,515",304,"30,237",974,2021-04-26,,,
East Jerusalem,"28,841",268,"28,409",164,2021-04-26,,,
Jenin Governorate,"18,759",247,"17,640",872,2021-04-26,,,
